,round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,activations1,activations2,dropouts,lr
1,86,0.9468377828598022,0.6197916666666666,0.980483591501715,0.5933762645655635,32,16,<function sigmoid at 0x7f2070a32048>,<function relu at 0x7f2070a25ea0>,0.16666666666666666,5.757142857142857
2,117,0.9553847114245096,0.6197916666666666,1.043518085707846,0.5657773684665711,8,4,<function linear at 0x7f2070a321e0>,<function linear at 0x7f2070a321e0>,0.3333333333333333,4.3428571428571425
3,150,0.9285765290260315,0.640625,0.9931668034911485,0.5970561180842943,32,4,<function linear at 0x7f2070a321e0>,<function relu at 0x7f2070a25ea0>,0.0,2.928571428571429
4,150,1.0324939688046773,0.5729166666666666,1.0738355979638683,0.5335786563602192,16,16,<function relu at 0x7f2070a25ea0>,<function relu at 0x7f2070a25ea0>,0.3333333333333333,1.5142857142857145
5,41,0.9549032549063364,0.6145833333333334,0.9708764638062892,0.5878564853841488,32,16,<function relu at 0x7f2070a25ea0>,<function linear at 0x7f2070a321e0>,0.0,8.585714285714285
6,114,0.948451558748881,0.6197916666666666,0.9870944369683708,0.5823367060930661,32,4,<function linear at 0x7f2070a321e0>,<function sigmoid at 0x7f2070a32048>,0.0,4.3428571428571425
7,97,0.9346058368682861,0.6145833333333334,0.9254119440625321,0.6117755291981771,16,4,<function sigmoid at 0x7f2070a32048>,<function sigmoid at 0x7f2070a32048>,0.0,4.3428571428571425
8,88,0.9325618346532186,0.6302083333333334,0.9662675027355977,0.5942962284798784,8,8,<function linear at 0x7f2070a321e0>,<function linear at 0x7f2070a321e0>,0.0,4.3428571428571425
9,88,0.943655401468277,0.6197916666666666,0.9664747966136423,0.5878564851922295,32,8,<function sigmoid at 0x7f2070a32048>,<function sigmoid at 0x7f2070a32048>,0.16666666666666666,5.757142857142857
10,150,0.9990879595279694,0.6041666666666666,1.0814858242910503,0.552897884358807,16,8,<function sigmoid at 0x7f2070a32048>,<function linear at 0x7f2070a321e0>,0.3333333333333333,1.5142857142857145
11,60,0.9848551154136658,0.6197916666666666,1.061694609756961,0.569457222040136,16,16,<function relu at 0x7f2070a25ea0>,<function linear at 0x7f2070a321e0>,0.16666666666666666,7.171428571428572
12,150,1.2774048646291096,0.46875,1.2874396254189429,0.45446182128038554,32,4,<function sigmoid at 0x7f2070a32048>,<function sigmoid at 0x7f2070a32048>,0.0,0.1
13,110,0.9475639164447784,0.609375,0.9881116855879277,0.5814167436592713,32,4,<function sigmoid at 0x7f2070a32048>,<function sigmoid at 0x7f2070a32048>,0.16666666666666666,7.171428571428572
14,134,0.9676798085371653,0.6197916666666666,0.9921821277955308,0.5786568532871783,8,16,<function sigmoid at 0x7f2070a32048>,<function sigmoid at 0x7f2070a32048>,0.16666666666666666,7.171428571428572
15,115,0.9255218207836151,0.6197916666666666,0.9814437177056222,0.586016559721465,16,16,<function relu at 0x7f2070a25ea0>,<function sigmoid at 0x7f2070a32048>,0.16666666666666666,2.928571428571429
16,86,0.9408318599065145,0.625,0.990092085497908,0.5878564861244089,32,4,<function linear at 0x7f2070a321e0>,<function linear at 0x7f2070a321e0>,0.16666666666666666,5.757142857142857
17,110,1.11663552125295,0.5572916666666666,1.1604470173590975,0.49586016518212067,8,4,<function relu at 0x7f2070a25ea0>,<function linear at 0x7f2070a321e0>,0.3333333333333333,1.5142857142857145
18,76,0.9762787719567617,0.6354166666666666,0.919194063464764,0.6163753444926938,8,8,<function sigmoid at 0x7f2070a32048>,<function relu at 0x7f2070a25ea0>,0.0,5.757142857142857
19,64,0.9579211672147115,0.6145833333333334,0.9698363430695239,0.5896964124725187,8,8,<function linear at 0x7f2070a321e0>,<function relu at 0x7f2070a25ea0>,0.0,5.757142857142857
20,150,1.2162881294886272,0.4270833333333333,1.2998860339670961,0.44802207884266493,8,4,<function sigmoid at 0x7f2070a32048>,<function sigmoid at 0x7f2070a32048>,0.3333333333333333,0.1
21,150,0.9253051280975342,0.625,1.000846326515668,0.586016559666631,32,8,<function sigmoid at 0x7f2070a32048>,<function sigmoid at 0x7f2070a32048>,0.16666666666666666,1.5142857142857145
